id,value
felipeares,
felipeares.obtencionDatos,
felipeares.obtencionDatos.scraping,
felipeares.obtencionDatos.scraping.selenium,10
felipeares.obtencionDatos.scraping.requests,10
felipeares.obtencionDatos.scraping.beautifulSoup,10
felipeares.obtencionDatos.bd,
felipeares.obtencionDatos.bd.mySQL,10
felipeares.obtencionDatos.bd.pstgreSQL,10
felipeares.obtencionDatos.bd.mongoDB,10
felipeares.obtencionDatos.bd.firebase,
felipeares.obtencionDatos.bd.neo4j,
felipeares.obtencionDatos.formatos,
felipeares.obtencionDatos.formatos.csv,10
felipeares.obtencionDatos.formatos.xml,10
felipeares.obtencionDatos.formatos.json,10
felipeares.obtencionDatos.formatos.txt,10
felipeares.preProcesamiento,
felipeares.preProcesamiento.numpy,10
felipeares.preProcesamiento.pandas,10
felipeares.preProcesamiento.matplotlib,10